Nombre;Domicilio;Telefono;Observaciones;Ciudad;Personeria
Amistad y Progreso;Palestina 2500;;Institución fundadora de la liga NAFIR;Rosario;
Arroyito Oeste;Av. Genova 2000;0;;Rosario;
Defensores de Empalme;Ochavarria 1050;0;Istitución fundadora de la liga NAFIR;Rosario;
San Cayetano;nose;;;Rosario;
Fonavi Oeste;Donado y Chubut;4585941;Istitución fundadora de la liga NAFIR;Rosario;
Atletico Granadero Baigorria;Calle 9 y Calle 2;155199165;ingreso agosto 2003;Granadero Baigorria;576/1997
Infantiles Rosarinos;Ituzaingo 7100;0;ingreso marzo 2001;Rosario;
Los Unidos;Barra 4100;0;ingreso marzo 2005;Rosario;
Sol de Cuyo;Casiano Casas y Baigorria;0;ingresa en marzo del 2008;Rosario;
Defensores de America;Casiano Casas y Washinton;0;ingresa en marzo del 2008;Rosario;
Sarratea;;0;ingresa en marzo del 2008;Rosario;
Victoriano Montes;;0;ingreso marzo 2010;;
Los Pumas;;0;ingreso marzo 2010;;
C. A. Santa Teresita;;0;ingreso marzo 2010;;
A. I. Nueva Italia Oeste;;0;ingreso marzo 2010;;
A. I. 17 de agosto;;0;ingreso marzo 2010;;
A. I. OROÑO;;0;ingreso marzo 2010;;
velez sarfield;;0;ingreso marzo 2010;;
Los Amigos;;0;ingreso marzo 2011;;
Loma Negra;;0;ingreso marzo 2011;;
Estudiantes Gabin 9;;0;;;
Estudiantes Rojo;;0;2º linea de estudiantes de cabin 9;;
Defensores de La Gloria;;0;;;
Juvenil D. La Gloria;;0;;;
Juvenil Estudiantes;;0;;;
Juvenil San Cayetano;;0;;;
Juvenil Los Amigos;;0;;;
Juvenil Loma Negra;;0;;;
A. I. Los Chicos;;0;;;
Juvenil Victoriano Montes;;0;;;
San Cayetano (Sur);bv. Segui y Barra;0;;;
Can Cayetano Sur;;0;;;
Junios Rosarinos;;0;;;
Juniors Rosarinos;;0;;;
E.F.El Potrero;;0;;;
Inf.Rosarinos Naranja;;0;;;
Vicente Lopez;;0;;;
Vec. San Cayetano A;;0;;;
Vec. San Cayetano B;;0;;;
Vec San Cayetano C;;0;;;
Vec San Cayetano D;;0;;;
Fonavi  Oeste A;;0;;;
Fonavi Oeste B;;0;;;
Italia Oeste;;0;;;
Inf. Rosarinos A;;0;;;
Inf. Rosarinos B;;0;;;
Sol De Cuyo A;;0;;;
Los Unidos A;;0;;;
Sarratea A;;0;;;
Los Potreros A;;0;;;
Atletas De Cristo;;0;;;
Los Unidos B;;0;;;
Los Potreros B;;0;;;
Los Potreros C;;0;;;
14 De Junio;;0;;;
Argentina 78;;0;;;
Nueva Italia Oeste B;;0;;;
Provincias Unidas;;0;;;
Recuerdo De Evita A;;0;;;
Recuerdo De Evita B;;0;;;
Los Unidos C;;0;;;
San Cayetano Sur  B;;0;;;
San Cayetano Sur C;;0;;;
Juvenil Inf. Rosarinos;;0;;;
Juvenil Los Potreros;;0;;;
Juvenil San Cayetano Sur;;0;;;
Juvenil Recuerdo De Evita;;0;;;
Juvenil Arroyito Oeste;;0;;;
Los Unidos D;;0;;;
Loma Negra Blanca;;0;;;
Sol De Cuyo B;;0;;;
Def. Agustin Magaldi A;;0;;;
Def. Agustin Magaldi B;;0;;;
Provincias Unidas Azul;;0;;;
14 De H;;0;;;
14 De Junio B;;0;;;
Inf. Rosarinos C;;0;;;
7 De Setiembre;;0;;;
Inf. Rosarinos D;;0;;;
Sol De Cuyo C;;0;;;
San Cayetano Sur D;;0;;;
14 De Junio C;;0;;;
Def. De La Lagunita;;0;;;
San Telmo;;0;;;
C. I. Libertad;;0;;;
A. I. Donado;;0;;;
Sarmiento F.C.;;0;;;
Def De La Quinta;;0;;;
Argentina 78  B;;0;;;
Olimpia;;0;;;
Juvenil Olimpia;;0;;;
Argentina 78 C;;0;;;
Milan;;0;;;
Ibarlucea;;0;;;
Ibarlucea B;;0;;;
Junior;;0;;;
Def Las Aguilas;;0;;;
Primera Junta;;0;;;
Renacer;;0;;;
Funes Fem;;0;;;
Deportivo Los Robles;;0;;;
San Lorenzo;;0;;;
Nafir;;0;;;
Nafir Rojo;;0;;;
Nueva Era;;0;;;
Renacer B;;0;;;
A. I. Real Fenix;;0;;;
San Lorenzo B;;0;;;
Juvenil Def Las Aguilas;;0;;;
Arroyito Oeste B;;0;;;
Pumas Oeste;;0;;;
Libertad B;;0;;;
Sarratea Azul;;0;;;
Baigorria Unidos;;0;;;
Escuela Futbol El Camino;;0;;;
Independiente De Roldan;;0;;;
Somos El 14 - Fenix;;0;;;
Maria Reina;;0;;;
Union Futbol Club;;0;;;
Tauro;;0;;;
Real Gigante;;0;;;
Lamadrid;;0;;;
A. I. Unidos;lamadrid 500 bis;0;;;
Lamadrid Uno;;0;;;
Lamadrid Dos;;0;;;
Las Palmeras Blanca;;0;;;
Las Palmeras Tricolor;;0;;;
Las Palmeras Rojo;;0;;;
Jaguars Fc;;0;;;
Jaguares Fc;;0;;;
Padre Montaldo;;0;;;
San Fernando;;0;;;
Club 27 De Febrero;;0;;;
Club El Ombu;;0;;;
Valencia Blanco;;0;;;
Valencia Azul;;0;;;
Inter;;0;;;
Def De Italia;;0;;;
48900829;;0;;;
San Fernando Naranja;;0;;;
San Fernando Negra;;0;;;
Rosario Unidos;;0;;;
Rosario Unidos;;0;;;
Lamadrid Tres;;0;;;
